PARTIE 	 第一
fois 	 上次
séance 	 大会
la 	 的
perdons 	 废话
palabres 	 废话
la 	 就
pas 	 不
. 	 。
Professeur 	 老实
Ye 	 老实
répondez 	 回答
suivante 	 下面
la 	 的
question 	 问题
: 	 ：
de 	 在
1962 	 二
à 	 至
1965 	 六
de 	 的
introduction 	 基础课
cours 	 基础课
, 	 ，
-vous 	 你
non 	 不
permission 	 擅自
donné 	 加入
un 	 了
grand 	 大量
nombre 	 大量
d' 	 的
relativité 	 相对论
théorie 	 相对论
informations 	 内容
? 	 ？
— 	 ”
relativité 	 相对论
théorie 	 相对论
est 	 已经
physiques 	 物理学
sciences 	 物理学
un 	 的
de 	 的
base 	 古典
principe 	 理论
, 	 ，
fondamentale 	 基础
cours 	 课怎
comment 	 课怎
pourrais 	 能
pas 	 不
parlé 	 涉及
en 	 它
? 	 ？
Ye 	 叶哲泰
Zhetai 	 叶哲泰
répondit 	 回答
. 	 。
— 	 “
Menteur 	 胡说
! 	 ！
côté 	 旁边
une 	 一
jeune 	 女
rouge 	 红卫兵
garde 	 红卫兵
Einstein 	 爱因斯坦
était 	 是
réactionnaire 	 反动
de 	 的
académique 	 学术
représentant 	 权威
. 	 ，
il 	 他
esprits 	 有奶便是娘
comme 	 有奶便是娘
les 	 有奶便是娘
, 	 ，
parti 	 跑
pour 	 为
américains 	 美
impérialistes 	 帝国主义
fabriquer 	 造
atomique 	 原子弹
bombe 	 原子弹
! 	 ！
Si 	 要
fonder 	 建立
révolutionnaire 	 革命
une 	 的
science 	 科学
, 	 ，
il 	 就要
faut 	 就要
mettre 	 打倒
bas 	 打倒
de 	 以
relativité 	 相对论
les 	 为
représente 	 代表
la 	 的
bourgeoise 	 资产阶级
théorie 	 理论
noir 	 黑旗
pavillon 	 黑旗
! 	 ！
Ye 	 叶哲泰
Zhetai 	 叶哲泰
garda 	 沉默
silence 	 沉默
le 	 着
, 	 ，
il 	 他
de 	 在
encaissait 	 忍受
devoir 	 忍受
porter 	 着
une 	 上
métal 	 铁
coiffe 	 高帽
et 	 和
poitrine 	 胸前
plaque 	 铁板
la 	 的
souffrance 	 痛苦
, 	 ，
ne 	 不
méritaient 	 值得
réponse 	 回应
qui 	 的
questions 	 问题
muet 	 沉默
. 	 。
Dans 	 在
son 	 他
, 	 ，
ses 	 他
étudiants 	 学生
fronçaient 	 皱
les 	 一下
sourcils 	 眉头
. 	 。
prendre 	 说话
parole 	 说话
La 	 的
fille 	 女孩儿
était 	 是
quatre 	 四
jeunes 	 中学
rouges 	 红卫兵
gardes 	 红卫兵
plus 	 最
sagace 	 聪颖
des 	 的
, 	 ，
car 	 并且
manifestement 	 显然
préparé 	 备
sa 	 而
tôt 	 前
avait 	 还
vue 	 看到
Elle 	 她
derrière 	 背批
ânonner 	 背批
répéter 	 背批
tirade 	 判稿
