PARTIE 	 第一
Lin 	 琳琳
trop 	 太
intelligente 	 聪明
. 	 ，
Pour 	 可是
réussir 	 搞
fondamentales 	 基础理论
théories 	 基础理论
, 	 ，
stupide 	 笨
. 	 。
passé 	 以后
Les 	 的
années 	 年
et 	 ，
je 	 我
n' 	 不
cessé 	 断悟
méditer 	 断悟
cette 	 这话
phrase 	 这话
la 	 的
signification 	 深意
. 	 。
Lin 	 琳
, 	 ，
tu 	 你
trop 	 太
intelligente 	 聪明
. 	 ，
déjà 	 早
quelques 	 几
années 	 年
que 	 ，
tu 	 你
as 	 就
senti 	 嗅
académique 	 知识界
monde 	 知识界
le 	 的
le 	 的
politique 	 政治
vent 	 风向
tourner 	 风向
assuré 	 做出
tes 	 一些
arrières 	 超前
des 	 的
, 	 ，
par 	 比如
exemple 	 比如
tes 	 你
dans 	 在
cours 	 教学
des 	 大部分
paramètres 	 物理
et 	 和
changeant 	 改
intitulés 	 名字
Ohm 	 欧姆
loi 	 定律
devenue 	 改
électrique 	 电阻
résistance 	 电阻
loi 	 定律
équations 	 定律
, 	 ，
Maxwell 	 麦克斯韦方程
équations 	 麦克斯韦方程
devenues 	 改名
électromagnétiques 	 电磁
, 	 ，
Planck 	 普朗克
constante 	 常数
devenue 	 成
la 	 了
quanta 	 量子
loi 	 常数
… 	 …
Tu 	 你
à 	 对
étudiants 	 学生
expliques 	 解释
que 	 ：
les 	 的
science 	 科学
résultats 	 成果
sont 	 是
laborieuses 	 广大
masses 	 人民
sagesse 	 智慧
la 	 的
cristallisation 	 结晶
, 	 ，
les 	 那些
réactionnaires 	 资产阶级
académiques 	 资产阶级
autorités 	 权威
ne 	 不
que 	 过
dérober 	 窃取
cette 	 这些
sagesse 	 智慧
. 	 。
Mais 	 但
malgré 	 即使
ton 	 这样
zèle 	 这样
, 	 ，
tu 	 你
toujours 	 仍然
pas 	 没有
été 	 被
révolutionnaire 	 革命
courant 	 主流
admise 	 接纳
, 	 ，
regarde 	 看看
maintenant 	 现在
toi 	 你
, 	 ，
manches 	 衣袖
pas 	 没有
du 	 没有
" 	 “
révolution 	 革命
éducatif 	 教职员工
personnel 	 教职员工
" 	 ”
le 	 的
rouge 	 红袖章
brassard 	 红袖章
. 	 ；
Tu 	 你
vides 	 两手空空地
, 	 ，
même 	 连
un 	 一
ouvrage 	 本
citations 	 语录
sans 	 没
droit 	 资格
emporter 	 拿
… 	 …
Pourquoi 	 谁
fait 	 让
t' 	 你
naître 	 出生
dans 	 在
ancienne 	 旧
Chine 	 中国
une 	 一个
illustre 	 显赫
famille 	 家庭
tes 	 你
parents 	 父母
tous 	 都
sont 	 是
éminents 	 著名
scientifiques 	 学者
. 	 。
parlant 	 说
Einstein 	 爱因斯坦
, 	 ，
tu 	 你
que 	 比
moi 	 我
as 	 有
davantage 	 更
Tiens 	 需要
à 	 需要
confesser 	 交待
. 	 。
1922 	 1922年
Cet 	 1922年
année 	 1922年
hiver 	 冬天
, 	 ，
Einstein 	 爱因斯坦
à 	 到
Shanghai 	 上海
venu 	 访问
donner 	 访问
, 	 ，
ton 	 你
père 	 父亲
qui 	 因
parlait 	 因
allemand 	 德语
très 	 很
bien 	 好
été 	 被
désigné 	 安排
pour 	 为
accompagnateurs 	 陪同者
partie 	 之一
. 	 。
Tu 	 你
plusieurs 	 多次
fois 	 多次
raconté 	 告诉
m' 	 我
que 	 ，
père 	 父亲
avait 	 是
avec 	 在
Einstein 	 爱因斯坦
la 	 的
lui-même 	 亲自
bénédiction 	 教诲
suivi 	 走
physiques 	 物理学
sciences 	 物理学
la 	 之
voie 	 路
et 	 而
tu 	 你
choisi 	 选择
physique 	 物理
métier 	 专业
était 	 是
sous 	 受
père 	 父亲
de 	 的
influence 	 影响
, 	 ，
donc 	 所以
Albert 	 爱翁
ton 	 你
indirect 	 间接
mentor 	 导师
! 	 ，
tu 	 你
en 	 为
tirais 	 感到
Quel 	 的
bonheur 	 自豪
, 	 和
fierté 	 幸福
! 	 。
Puis 	 后
tard 	 后
j' 	 我
appris 	 知道
que 	 ，
père 	 父亲
ton 	 你
t' 	 你
raconté 	 讲
avait 	 了
bienveillant 	 善意
un 	 的
mensonge 	 谎言
, 	 ，
il 	 他
avec 	 与
Einstein 	 爱因斯坦
qu' 	 只
échangé 	 有
un 	 一
instant 	 次
n' 	 不
bref 	 短
. 	 。
C' 	 那
était 	 是
1922 	 l922年
du 	 l922年
novembre 	 11月
13 	 3日
matin 	 上午
, 	 ，
il 	 他
marchait 	 陪
dans 	 到
Nankin 	 南京路
rue 	 南京路
, 	 ，
de 	 还有
Shanghai 	 上海
université 	 大学
président 	 校长
Yu 	 于右任
Youren 	 于右任
, 	 、
Ta 	 大公报
Kung 	 大公报
Pao 	 大公报
journal 	 大公报
patron 	 经理
Cao 	 曹谷冰
Gubing 	 曹谷冰
autres 	 等
… 	 ，
Tandis 	 经过
un 	 一个
voirie 	 路基
chantier 	 维修点
, 	 ，
Einstein 	 爱因斯坦
à 	 在
un 	 一
briser 	 砸
pierres 	 石子
de 	 的
ouvrier 	 小
côté 	 旁
arrêté 	 停下
silence 	 默默
regardé 	 看
ce 	 这个
dans 	 在
glacial 	 寒风
hiver 	 寒风
vent 	 寒风
de 	 中
mains 	 衣衫
et 	 、
visage 	 脸
sales 	 污黑
vêtu 	 污黑
garçon 	 男孩子
demandé 	 问
ton 	 你
père 	 父亲
: 	 ：
Il 	 他
par 	 一
jour 	 天
gagne 	 挣
Combien 	 多少
? 	 ？
interrogé 	 问
ouvrier 	 小工
Après 	 后
, 	 ，
ton 	 你
père 	 父亲
répondu 	 回答
: 	 ：
Cinq 	 五
centimes 	 分
. 	 。
Ce 	 这
fut 	 是
ton 	 他
et 	 与
changé 	 改变
monde 	 世界
ce 	 的
scientifique 	 科学
seul 	 唯一
le 	 的
échange 	 交流
. 	 ，
n' 	 没有
de 	 没有
physique 	 物理学
ni 	 ，
de 	 没有
théorie 	 相对论
, 	 ，
simplement 	 只有
de 	 只有
dureté 	 冰冷
la 	 的
réalité 	 现实
. 	 。
Selon 	 据
ton 	 你
père 	 父亲
, 	 ，
Einstein 	 爱因斯坦
il 	 他
le 	 的
du 	 的
encore 	 又
silence 	 默默
resté 	 站
au 	 在
endroit 	 那里
un 	 一会儿
moment 	 一会儿
en 	 ，
. 	 ，
observant 	 看
jeune 	 小工
languissant 	 麻木
labeur 	 麻木
main 	 手里
dans 	 手里
La 	 的
qu' 	 的
pipe 	 烟斗
s' 	 都
éteinte 	 灭
même 	 也
pas 	 没有
tiré 	 吸
une 	 一
bouffée 	 口
. 	 。
ton 	 你
père 	 父亲
Lorsqu' 	 在
raconté 	 回忆
ce 	 这
, 	 ，
m' 	 我
lâché 	 发出
un 	 的
soupir 	 感叹
: 	 ：
En 	 在
Chine 	 中国
, 	 ，
toutes 	 任何
libres 	 超脱
pris 	 超脱
envol 	 飞扬
les 	 的
pensées 	 思想
toutes 	 都
finissent 	 会
écraser 	 坠地
par 	 的
, 	 ，
réalité 	 现实
la 	 的
gravité 	 引力
trop 	 太
lourde 	 沉重
. 	 。
— 	 “
Baisse 	 低下
tête 	 头
! 	 ！
un 	 一
rouge 	 红卫兵
garde 	 红卫兵
hurlant 	 大声
ordonna 	 命令
. 	 。
cette 	 这
n' 	 也
su 	 许
son 	 自己
d' 	 的
un 	 的
étudiant 	 学生
pour 	 对
professeur 	 老师
un 	 一
reliquat 	 丝
la 	 的
de 	 的
sympathie 	 同情
, 	 ，
mais 	 但
Ye 	 叶哲泰
Zhetai 	 叶哲泰
accordant 	 要
, 	 ，
le 	 那
de 	 的
métal 	 铁
chapeau 	 高帽
tomberait 	 会
et 	 ，
tant 	 只要
lui 	 他
qu' 	 一直
de 	 一直
maintenir 	 低
tête 	 头
, 	 ，
n' 	 没有
aucune 	 没有
raison 	 理由
nouveau 	 再
le 	 他
porter 	 戴
. 	 。
Cependant 	 但
Ye 	 叶哲泰
Zhetai 	 叶哲泰
garda 	 昂
tête 	 头
, 	 ，
à 	 用
maigre 	 瘦弱
de 	 的
son 	 的
cou 	 脖颈
soutenant 	 支撑
le 	 那
pesant 	 沉重
couvre-chef 	 钢铁
. 	 。
— 	 “
Baisse 	 低头
tête 	 低头
! 	 ！
Espèce 	 你
d' 	 个
réactionnaire 	 反动
insolent 	 顽固
! 	 ！
côté 	 旁边
Une 	 一
rouge 	 红卫兵
garde 	 红卫兵
défit 	 解
de 	 的
ceinture 	 皮带
Ye 	 叶哲
Zhetai 	 叶哲
de 	 去
direction 	 去
et 	 ，
. 	 ，
laiton 	 黄铜带
boucle 	 扣
heurtant 	 打
à 	 在
lui 	 他
front 	 脑门
, 	 ，
En 	 在
de 	 在
visible 	 精确
laissa 	 留下
ceinture 	 带
marque 	 形状
qui 	 ，
très 	 很快
vite 	 很快
fut 	 被
violacé 	 淤血
hématome 	 淤血
escamotée 	 模糊
par 	 成
gros 	 黑紫
une 	 一
un 	 一
. 	 。
il 	 他
chancela 	 摇晃
, 	 ，
équilibre 	 站稳
à 	 了
son 	 了
. 	 。
Un 	 一
rouge 	 红卫兵
garde 	 红卫兵
reprit 	 质问
ses 	 叶哲泰
semonces 	 叶哲泰
: 	 ：
— 	 “
Lors 	 在
quantique 	 量子力学
mécanique 	 量子力学
de 	 的
cours 	 教学
, 	 ，
vous 	 你
aussi 	 也
propagé 	 散布
une 	 过
grande 	 大量
quantité 	 大量
de 	 的
réactionnaires 	 反动
contrevérités 	 言论
. 	 ！
dit 	 说
vers 	 对
Shao 	 绍琳
Lin 	 绍琳
tête 	 头
, 	 ，
indiquer 	 示意
elle 	 她
poursuivre 	 继续
. 	 。
Shao 	 绍琳
Lin 	 绍琳
n' 	 迫不及待
que 	 迫不及待
attendait 	 迫不及待
continuer 	 继续
cette 	 下去
occasion 	 下去
, 	 ，
elle 	 她
devait 	 必须
sans 	 不
relâche 	 停顿
à 	 地
parler 	 说
pour 	 以
préserver 	 维持
son 	 自己
effritement 	 摇摇欲坠
d' 	 的
esprit 	 精神
total 	 彻底
. 	 。
— 	 “
Ye 	 叶哲泰
Zhetai 	 叶哲泰
, 	 ，
voilà 	 这
un 	 一
fait 	 点
tu 	 你
ne 	 无法
pas 	 无法
nier 	 抵赖
que 	 的
! 	 ！
tu 	 你
fois 	 多次
à 	 向
étudiants 	 学生
distillé 	 散布
contre-révolutionnaire 	 反动
de 	 的
Copenhague 	 哥本哈根
hypothèse 	 解释
? 	 ！
— 	 “
ce 	 这
Mais 	 毕竟
est 	 是
reconnue 	 公认
la 	 的
des 	 的
plus 	 最
conforme 	 符合
expérimentaux 	 实验
résultats 	 结果
l' 	 的
hypothèse 	 解释
. 	 。
reçu 	 受到
tel 	 如此
coup 	 重击
après 	 后
, 	 ，
il 	 他
de 	 的
voix 	 口气
ton 	 口气
aussi 	 还
calme 	 从容
emplit 	 让
Shao 	 绍琳
Lin 	 绍琳
de 	 很
stupeur 	 吃惊
et 	 ，
d' 	 很
angoisse 	 恐惧
. 	 。
— 	 “
Cette 	 这个
interprétation 	 解释
postule 	 认为
qu' 	 认为
extérieure 	 外部
une 	 的
observation 	 观察
conduit 	 导致
ondes 	 量子
paquet 	 波函数
une 	 的
réduction 	 坍缩
. 	 ，
réactionnaire 	 反动
idéalisme 	 唯心论
autre 	 另
une 	 一
outrageante 	 猖狂
de 	 的
manifestation 	 表现
! 	 ！
— 	 “
Est 	 是
qui 	 是
philosophie 	 哲学
guider 	 指引
expérience 	 实验
ou 	 还是
l' 	 还是
expérience 	 实验
guider 	 指引
philosophie 	 哲学
? 	 ？
Cette 	 这
soudaine 	 突然
contre-attaque 	 反击
plongea 	 令
accusateurs 	 批判者
un 	 一时
moment 	 一时
embarras 	 不知所措
l' 	 不知所措
. 	 。
— 	 “
C' 	 当然
est 	 是
juste 	 正确
la 	 的
marxiste 	 马克思主义
philosophie 	 哲学
diriger 	 指引
scientifiques 	 科学
expériences 	 实验
! 	 ！
un 	 一
rouge 	 红卫兵
garde 	 红卫兵
lança 	 说
. 	 。
— 	 “
Cela 	 这
revient 	 等于
à 	 等于
dire 	 说
véritables 	 正确
les 	 的
philosophie 	 哲学
du 	 从
ciel 	 天上
tombe 	 掉
C' 	 这
remettre 	 反对
cause 	 反对
pratique 	 实践出真知
connaissances 	 实践出真知
, 	 ，
précisément 	 恰恰
va 	 是
contre-courant 	 违背
marxistes 	 马克思主义
du 	 对
naturel 	 自然界
monde 	 自然界
de 	 的
la 	 的
connaissance 	 认知
principes 	 则
à 	 的
. 	 。
Shao 	 绍琳
Lin 	 绍琳
ni 	 和
deux 	 两
étudiants 	 大学
gardes 	 红卫兵
n' 	 无言以对
mesure 	 无言以对
en 	 无言以对
justifier 	 无言以对
Contrairement 	 与
jeunes 	 中学
aux 	 的
gardes 	 红卫兵
collégiens 	 红卫兵
, 	 ，
ils 	 他们
ne 	 不
pouvaient 	 可能
de 	 一点儿
toute 	 一点儿
logique 	 道理
en 	 也
riposter 	 讲
. 	 。
Mais 	 但
des 	 的
quatre 	 四
jeunes 	 小将
souffrir 	 自有
devait 	 “
aucune 	 无坚不摧
attaque 	 无坚不摧
la 	 的
révolution 	 革命
. 	 ，
juste 	 刚才
fouetter 	 动手
La 	 那个
filles 	 女孩儿
fille 	 女孩儿
nouveau 	 又
asséna 	 抽
lui 	 了
Ye 	 叶哲泰
Zhetai 	 叶哲泰
un 	 一
ceinture 	 皮带
. 	 ，
autres 	 另外
trois 	 三
filles 	 女孩子
de 	 都
même 	 分别
cingler 	 抽
la 	 一下
, 	 ，
dès 	 当
lors 	 当
camarade 	 同伴
révolution 	 革命
, 	 ，
devait 	 必须
être 	 表现
plus 	 更
révolutionnaire 	 革命
, 	 ，
tout 	 至少
moins 	 至少
autant 	 同样
. 	 。
deux 	 两
garçons 	 男红卫兵
ne 	 没有
pas 	 没有
bronchèrent 	 过问
. 	 ，
ils 	 他们
S' 	 要
étaient 	 是
être 	 是
intervenus 	 管
, 	 ，
tour 	 也
contre-révolutionnaires 	 革命
d' 	 的
suspectés 	 嫌疑
. 	 。
— 	 “
vous 	 你
également 	 还
Durant 	 在
cours 	 教学
propagé 	 散布
Big 	 大
Bang 	 爆炸
théorie 	 理论
, 	 ，
certainement 	 这
l' 	 所有
scientifique 	 科学
théorie 	 理论
plus 	 最
réactionnaire 	 反动
de 	 的
! 	 ！
un 	 一
rouge 	 红卫兵
garde 	 红卫兵
essayant 	 试图
changer 	 转移
sujet 	 话题
. 	 。
— 	 “
Peut 	 许
être 	 许
futur 	 以后
cette 	 这个
théorie 	 理论会
sera 	 理论会
-elle 	 被
retoquée 	 推翻
, 	 ，
mais 	 但
notre 	 本世纪
siècle 	 本世纪
les 	 的
deux 	 两
grandes 	 大
astronomiques 	 宇宙学
découvertes 	 发现
, 	 ：
Hubble 	 勃红移
loi 	 勃红移
et 	 和
diffus 	 K
cosmologique 	 宇宙
fond 	 背景
, 	 ，
font 	 使
Big 	 大
Bang 	 爆炸
la 	 成为
le 	 为止
plus 	 最
crédible 	 可信
de 	 的
univers 	 宇宙
origine 	 起源
théorie 	 理论
. 	 。
— 	 “
Foutaises 	 胡说
! 	 ！
Shao 	 绍琳
Lin 	 绍琳
égosilla 	 大
s' 	 来
, 	 ，
puis 	 又
interminable 	 滔滔不绝
se 	 地
lança 	 讲
dans 	 起
un 	 了
Big 	 宇宙
Bang 	 爆炸
, 	 ，
naturellement 	 自然
n' 	 不
oubliant 	 忘
profondeur 	 深刻
de 	 地
disséquer 	 剖析
sa 	 其
réactionnaire 	 反动
nature 	 本质
. 	 。
Cependant 	 但
cette 	 这
théorie 	 理论
le 	 的
parfaitement 	 超级
intrigua 	 吸引
des 	 个
jeunes 	 小
plus 	 最
sagace 	 聪明
la 	 那
, 	 ，
qui 	 她
ne 	 不由自主
s' 	 不由自主
de 	 地
demander 	 问道
: 	 ：
— 	 “
temps 	 时间
aussi 	 都
a 	 是
avec 	 从
cette 	 那个
singularité 	 奇点
pris 	 开始
naissance 	 开始
? 	 ？
singularité 	 奇点
avant 	 以前
avait 	 有什
Qu' 	 有什
? 	 ？
— 	 “
tout 	 么
du 	 都
, 	 。
Ye 	 叶哲泰
Zhetai 	 叶哲泰
dit 	 说
, 	 ，
comme 	 像
répondait 	 回答
une 	 一个
petite 	 小
fille 	 女孩儿
une 	 的
question 	 问题
s' 	 那样
. 	 ，
Il 	 他
tourna 	 转头
tête 	 转头
bienveillance 	 慈祥
et 	 地
avec 	 地
regarda 	 看
la 	 她
son 	 ，
métal 	 铁
chapeau 	 高帽
et 	 和
ses 	 的
blessures 	 重伤
, 	 ，
rendirent 	 使
ce 	 这
mouvement 	 动作
très 	 很
difficile 	 艰难
. 	 。
— 	 “
Rien 	 什
Comment 	 么
? 	 ？
réactionnaire 	 反动
, 	 ！
réactionnaire 	 反动
! 	 ！
autre 	 那
sachant 	 惊恐万状
répondre 	 叫
d' 	 来
, 	 ，
elle 	 她
Ne 	 不知所措
quoi 	 不知所措
tourna 	 转向
vers 	 转向
Shao 	 绍琳
Lin 	 绍琳
solliciter 	 寻求
soutien 	 帮助
qu' 	 ，
aussitôt 	 立刻
obtint 	 得到
. 	 。
— 	 “
Cette 	 这
pour 	 给
Dieu 	 上帝
de 	 的
existence 	 存在
laisse 	 留下
une 	 留下
place 	 位置
Shao 	 绍琳
Lin 	 绍琳
à 	 对
fille 	 女孩儿
hochant 	 点点
tête 	 头
suggéra 	 提示
. 	 。
jeune 	 小
rouge 	 红卫兵
garde 	 红卫兵
confuse 	 茫然
trouva 	 找到
ragaillardie 	 立脚点
et 	 ，
La 	 她
menaça 	 举起
avec 	 举起
sa 	 的
ceinture 	 手
Ye 	 叶哲泰
Zhetai 	 叶哲泰
: 	 ，
— 	 “
Vous 	 你
prétendez 	 想
existe 	 有
Dieu 	 上帝
? 	 ？
… 	 ”
— 	 “
Je 	 我
n' 	 不
sais 	 知道
. 	 。
— 	 “
-vous 	 你
dites 	 说
Que 	 什
? 	 ！
— 	 “
Je 	 我
dis 	 说
n' 	 不
. 	 ，
Si 	 如果
Dieu 	 上帝
entendez 	 指
univers 	 宇宙
de 	 之外
au-delà 	 之外
de 	 的
superconscience 	 超意识
, 	 ，
je 	 我
n' 	 不
idée 	 知道
son 	 它
existence 	 存在
. 	 ；
contre 	 正反
, 	 ，
science 	 科学
ne 	 没
fournit 	 给
tangible 	 确实
preuve 	 证据
. 	 。
en 	 在
ce 	 这
cauchemar 	 噩梦
train 	 般
de 	 的
moment 	 时刻
Le 	 ，
Ye 	 叶哲泰
Zhetai 	 叶哲泰
faisait 	 已
pencher 	 倾向
vers 	 于
de 	 于
conviction 	 相信
il 	 它
l' 	 它
Dieu 	 它
inexistence 	 不
de 	 了
. 	 。
Ces 	 这
outranciers 	 大逆不道
de 	 的
propos 	 话
sur 	 在
le 	 整个
sport 	 会场
terrain 	 会场
soulevèrent 	 引起
une 	 了
indignation 	 骚动
et 	 ，
sous 	 在
estrade 	 台上
un 	 一
rouge 	 红卫兵
garde 	 红卫兵
l' 	 的
impulsion 	 带领
, 	 ，
nouveau 	 又
retentirent 	 爆发
des 	 一
salves 	 波
de 	 的
slogans 	 口号声
. 	 。
— 	 “
À 	 打倒
bas 	 打倒
réactionnaire 	 反动
scientifique 	 学术
pouvoir 	 权威
Ye 	 叶哲泰
Zhetai 	 叶哲泰
! 	 ！
— 	 ”
À 	 打倒
bas 	 打倒
les 	 一切
réactionnaires 	 反动
scientifiques 	 学术
autorités 	 权威
! 	 ！
— 	 “
À 	 打倒
bas 	 打倒
les 	 一切
réactionnaires 	 反动
doctrines 	 学说
! 	 ！
! 	 ！
— 	 ”
sont 	 是
religions 	 宗教
laborieuses 	 统治阶级
classes 	 统治阶级
créés 	 编造
des 	 的
museler 	 麻痹
l' 	 的
des 	 的
esprit 	 精神
subterfuges 	 工具
! 	 ！
slogans 	 口号
apaisés 	 平息
fois 	 后
que 	 ，
la 	 那个
jeune 	 小
fille 	 女孩儿
cria 	 说
. 	 。
— 	 “
C' 	 这种
de 	 这种
vue 	 看法
est 	 是
sens 	 片面
à 	 的
Ye 	 叶哲泰
Zhetai 	 叶哲泰
froidement 	 平静
répliqua 	 说
. 	 。
Blessée 	 恼羞成怒
dans 	 恼羞成怒
- 	 恼羞成怒
rouge 	 红卫兵
garde 	 红卫兵
émit 	 做出
un 	 了
jugement 	 判断
qu' 	 ，
devant 	 眼前
le 	 这个
dangereux 	 危险
qui 	 的
ennemi 	 敌人
, 	 ，
aucun 	 一切
discours 	 语言
ne 	 都
sans 	 无
appel 	 意义
changer 	 意义
pourrait 	 了
. 	 。
Zhetai 	 皮带
taille 	 上去
, 	 ，
les 	 的
quatre 	 三
gamines 	 同志
Ye 	 叶哲泰
grande 	 很
quatorze 	 十四
ans 	 岁
durent 	 能
moulinets 	 皮带
chapeau 	 皮带
pour 	 才
atteindre 	 打
lui 	 他
malgré 	 不
tout 	 肯
baisser 	 低下
la 	 的
tête 	 头
et 	 ，
quelques 	 几
coups 	 打击
lors 	 后
, 	 ，
lui 	 他
larges 	 一定
protection 	 保护
servait 	 作用
les 	 的
laiton 	 铁
boucles 	 高帽
s' 	 被
abattirent 	 打
dès 	 接
en 	 的
comme 	 如
déluge 	 雨点
écrouler 	 打
sur 	 在
et 	 和
sol 	 身上
âme 	 身上
finit 	 终于
par 	 终于
. 	 ，
cette 	 这
jeunes 	 小
gardes 	 红卫兵
rouges 	 红卫兵
persuadées 	 她们
jetèrent 	 投入
de 	 地
à 	 着
ce 	 这
glorieux 	 崇高
combat 	 战斗
, 	 ，
de 	 在
pour 	 为
idées 	 信念
lutter 	 战
, 	 ，
pour 	 为
idéaux 	 理想
, 	 ，
historique 	 历史
une 	 的
héroïque 	 光辉
acte 	 使命
, 	 ，
de 	 为
leur 	 自己
fières 	 自豪
… 	 …
— 	 “
enseigne 	 指示
de 	 ：
verbe 	 文斗
non 	 不
par 	 要
violence 	 武斗
combattre 	 武斗
! 	 ！
Ye 	 叶哲泰
Zhetai 	 叶哲泰
les 	 的
deux 	 两
étudiants 	 学生
enfin 	 终于
décidèrent 	 下
à 	 了
crier 	 喊
et 	 ，
ils 	 人
précipitèrent 	 冲
pour 	 ，
écarter 	 拉开
devenues 	 已
à 	 处于
moitié 	 半
folles 	 疯狂
les 	 的
quatre 	 四
filles 	 女孩儿
. 	 。
Mais 	 但
déjà 	 已经
tard 	 晚
, 	 ，
physicien 	 物理学
allongé 	 静静地
immobile 	 静静地
, 	 静静地
sur 	 在
sol 	 地上
. 	 ，
moitié 	 半
clos 	 睁
yeux 	 眼看
semblaient 	 眼看
fixer 	 着
de 	 从
son 	 他
crâne 	 头颅
s' 	 上
écoulait 	 流出
le 	 的
de 	 的
qui 	 的
sang 	 血迹
filet 	 血迹
. 	 ，
assistance 	 会场
instant 	 瞬间
figea 	 陷入
dans 	 陷入
en 	 了
un 	 一
mort 	 死寂
silence 	 死寂
. 	 ，
ce 	 那
sang 	 血迹
filet 	 血迹
était 	 是
seule 	 唯一
en 	 在
mouvement 	 动
de 	 的
chose 	 东西
qui 	 它
tel 	 像
un 	 一
serpent 	 红
en 	 地
rampait 	 爬行
ondulant 	 爬行
et 	 ，
jusqu' 	 到达
au 	 到达
estrade 	 台沿
goutte 	 滴
goutte 	 滴
dans 	 在
bord 	 下面
un 	 一个
vide 	 空
carton 	 箱子
de 	 上
rythme 	 节奏
de 	 的
, 	 ，
comme 	 像
éloignés 	 渐
des 	 的
bruits 	 脚步
. 	 。
Un 	 一阵
mystérieux 	 怪
rire 	 笑声
brisa 	 打破
glacer 	 打破
le 	 了
silence 	 寂静
. 	 ，
Il 	 这
esprit 	 精神
déjà 	 已
disloqué 	 崩溃
de 	 的
Shao 	 绍琳
Lin 	 绍琳
provenir 	 发出
de 	 的
, 	 ，
semblait 	 来
. 	 。
Certains 	 人们
commencèrent 	 开始
quitter 	 离去
et 	 ，
bientôt 	 最后
fut 	 成
la 	 一
débandade 	 溃逃
Tous 	 每个
fuyaient 	 想
le 	 都
la 	 这个
les 	 这个
lieux 	 地方
. 	 。
scène 	 会场
rapidement 	 很快
possible 	 来
, 	 ，
plus 	 剩下
qu' 	 剩下
une 	 一个
fille 	 姑娘
sous 	 在
estrade 	 台下
. 	 。
C' 	 她
était 	 是
Ye 	 叶哲泰
Zhetai 	 叶哲泰
la 	 的
fille 	 女儿
Ye 	 叶文洁
Wenjie 	 叶文洁
. 	 。
Lorsque 	 当
les 	 那
quatre 	 四
filles 	 女孩儿
prises 	 施暴夺
à 	 去
père 	 父亲
, 	 ，
elle 	 她
avait 	 曾
voulu 	 想
ruer 	 冲
sur 	 上
estrade 	 台去
, 	 ，
mais 	 但
ses 	 身边
côtés 	 身边
qui 	 的
deux 	 两
vieux 	 老
concierges 	 校工
debout 	 死死
empêchée 	 抓住
lui 	 她
en 	 并
à 	 在
à 	 在
oreille 	 耳边
glissant 	 低声
elle 	 她
qu' 	 别
la 	 的
vie 	 命
aussi 	 也
risquait 	 要
perdre 	 要
. 	 ，
scène 	 会场
déjà 	 已经
guidée 	 处于
par 	 处于
de 	 的
folie 	 癫狂
Son 	 的
apparition 	 出现
n' 	 只
aurait 	 会
exacerber 	 引出
la 	 的
violence 	 暴徒
. 	 。
Elle 	 她
avait 	 曾
et 	 竭地
pleuré 	 哭叫
, 	 ，
mais 	 但
voix 	 声音
noyée 	 淹没
par 	 在
vagues 	 疯狂
foule 	 疯狂
les 	 的
de 	 的
slogans 	 口号
et 	 和
encouragements 	 助威声
, 	 ，
que 	 当
tout 	 一切
calme 	 寂静
redevenu 	 下
, 	 ，
elle 	 她
n' 	 自己
faire 	 发
moindre 	 任何
Maintenant 	 只是
que 	 只是
père 	 父亲
avait 	 已
n' 	 没有
vie 	 生命
de 	 的
de 	 的
bouche 	 躯体
corps 	 躯体
pas 	 没有
pleurs 	 哭
ou 	 和
cris 	 喊
de 	 的
ce 	 东西
son 	 她
sang 	 血液
dans 	 中
dissous 	 弥漫
et 	 ，
accompagnerait 	 将
sa 	 她
le 	 一生
de 	 一生
vie 	 一生
. 	 。
monde 	 人群
parti 	 散
Alors 	 后
, 	 ，
elle 	 她
debout 	 站
était 	 在
là 	 那里
, 	 ，
, 	 ，
corps 	 身体
